action,data,timestamp,session_id
"lens_opened","{""lens_name"": ""AR Social Hub"", ""version"": ""1.2.0"", ""device"": ""spectacles_gen5""}","2024-01-15T10:30:00Z","lens_1705312200000"
"button_pressed","{""button_id"": ""start_experience"", ""screen"": ""main_menu"", ""duration_ms"": 1200}","2024-01-15T10:30:05Z","lens_1705312200000"
"gesture_detected","{""gesture_type"": ""tap"", ""coordinates"": {""x"": 0.45, ""y"": 0.67}, ""confidence"": 0.95}","2024-01-15T10:30:12Z","lens_1705312200000"
"voice_command","{""command"": ""show menu"", ""language"": ""en"", ""confidence"": 0.89, ""duration_ms"": 2100}","2024-01-15T10:30:20Z","lens_1705312200000"
"object_placed","{""object_type"": ""3d_model"", ""position"": {""x"": 1.2, ""y"": 0.0, ""z"": 2.5}, ""scale"": 1.0}","2024-01-15T10:30:35Z","lens_1705312200000"
"menu_navigation","{""from_screen"": ""main_menu"", ""to_screen"": ""settings"", ""method"": ""gesture""}","2024-01-15T10:30:50Z","lens_1705312200000"
"setting_changed","{""setting"": ""volume"", ""old_value"": 0.7, ""new_value"": 0.5, ""category"": ""audio""}","2024-01-15T10:31:05Z","lens_1705312200000"
"photo_captured","{""resolution"": ""1920x1080"", ""format"": ""jpg"", ""filters_applied"": [""ar_overlay"", ""color_enhance""]}","2024-01-15T10:31:20Z","lens_1705312200000"
"social_share","{""platform"": ""snapchat"", ""content_type"": ""photo"", ""privacy"": ""friends"", ""caption"": ""Cool AR experience!""}","2024-01-15T10:31:35Z","lens_1705312200000"
"game_interaction","{""game_mode"": ""puzzle"", ""level"": 3, ""action"": ""piece_placed"", ""correct"": true}","2024-01-15T10:31:50Z","lens_1705312200000"
"error_occurred","{""error_type"": ""network_timeout"", ""operation"": ""data_sync"", ""retry_count"": 2, ""resolved"": true}","2024-01-15T10:32:05Z","lens_1705312200000"
"performance_metric","{""fps"": 58, ""memory_usage"": ""245MB"", ""battery_level"": 0.73, ""temperature"": 42}","2024-01-15T10:32:20Z","lens_1705312200000"
"location_update","{""latitude"": 37.7749, ""longitude"": -122.4194, ""accuracy"": 5.2, ""indoor"": false}","2024-01-15T10:32:35Z","lens_1705312200000"
"tutorial_step","{""tutorial_id"": ""basic_controls"", ""step"": 4, ""completed"": true, ""time_spent_seconds"": 15}","2024-01-15T10:32:50Z","lens_1705312200000"
"lens_closed","{""session_duration_seconds"": 170, ""interactions_count"": 13, ""errors_count"": 1, ""user_rating"": 4}","2024-01-15T10:33:05Z","lens_1705312200000"
